EG-CHP-MX1
2022-01-20T08:33:58.318048Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-20T08:33:40.998048Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-17T19:29:03.243000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-17T19:22:48.673001Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'false'}
2022-01-08T14:31:55.349096Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-08T14:26:08.909104Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'false'}
2022-01-07T02:18:22.716001Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-07T02:14:18.103102Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-06T19:16:57.425000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-06T19:13:05.387383Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T01:39:26.046020Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-03T01:39:08.634021Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-02T19:48:42.190077Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-02T19:48:22.670077Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-02T19:12:28.131529Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-02T19:12:10.867528Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-02T17:50:59.373044Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-02T17:50:41.921045Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-02T17:32:45.672015Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-02T17:32:22.696016Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-02T16:51:31.249016Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-02T16:51:06.045017Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2021-12-30T13:10:53.294001Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-30T13:10:53.290000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2021-12-30T04:51:00.768487Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-30T04:51:00.768477Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2021-12-30T02:46:09.030447Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-30T02:46:09.030436Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
####################################################################################################

WL-LAK-MX1
2021-12-21T20:27:56.994000Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2021-12-21T20:27:45.358000Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
####################################################################################################

EG-WLG-MX1
2022-01-17T13:12:17.241000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-17T13:12:14.229001Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'false'}
2022-01-16T20:46:46.551553Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-16T20:20:18.257792Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:55:27.332000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:55:24.240000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'false'}
2022-01-03T12:47:02.866686Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:38:31.684000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:30:24.557001Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:18:17.214000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T12:02:00.884001Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T11:43:02.967000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-03T11:22:20.562000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
####################################################################################################

AT-CPL-MX1
2022-01-17T14:21:30.675342Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-17T14:21:30.673850Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-17T14:21:30.673635Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T02:22:47.300940Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T02:22:47.299560Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T02:22:47.298186Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T02:04:57.437634Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
