hostname,protocol,username,folder,emulation,session_name
172.23.1.20,SSH2,gsolorzano,NAP,Xterm,DC-iWAN-CTR
172.20.1.251,SSH2,gsolorzano,NAP,Xterm,DCiWANHUB1
172.20.1.252,SSH2,gsolorzano,NAP,Xterm,DCiWANHUB2
172.23.1.21,SSH2,gsolorzano,NAP,Xterm,DR-iWAN-CTR
172.21.1.251,SSH2,gsolorzano,NAP,Xterm,DRiWANHUB1
172.21.1.252,SSH2,gsolorzano,NAP,Xterm,DRiWANHUB2
10.253.8.4,SSH2,gsolorzano,NAP,Xterm,IP-DallasSC-RT1
10.253.8.2,SSH2,gsolorzano,NAP,Xterm,IP-BocaRaton-RT1
10.253.8.89,SSH2,gsolorzano,NAP,Xterm,CP-Atlanta-RT1
10.253.8.94,SSH2,gsolorzano,NAP,Xterm,CP-Minnesota-RT1
10.253.8.77,SSH2,gsolorzano,NAP,Xterm,CP-Rancho-RT1
10.253.8.49,SSH2,gsolorzano,NAP,Xterm,CP-Seattle-RT1
10.253.8.65,SSH2,gsolorzano,NAP,Xterm,CP-Tucson-RT1
10.253.8.118,SSH2,gsolorzano,NAP,Xterm,CP-Portland-RT1
10.253.8.1,SSH2,gsolorzano,NAP,Xterm,EMP-Toronto-RT1
10.253.8.17,SSH2,gsolorzano,NAP,Xterm,EMP-Calgary-RT1
10.253.8.122,SSH2,gsolorzano,NAP,Xterm,EMP-Dartmouth-RT1
10.253.8.71,SSH2,gsolorzano,NAP,Xterm,EMP-Edmonton-RT1
10.253.8.69,SSH2,gsolorzano,NAP,Xterm,EMP-London-RT1
10.253.8.14,SSH2,gsolorzano,NAP,Xterm,EMP-Montreal-RT1
10.253.8.76,SSH2,gsolorzano,NAP,Xterm,EMP-StJohn-RT1
10.253.8.12,SSH2,gsolorzano,NAP,Xterm,EMP-Vancouver-RT1
10.253.8.11,SSH2,gsolorzano,NAP,Xterm,EMP-Winnipeg-RT1
10.253.8.39,SSH2,gsolorzano,NAP,Xterm,EP-Coppell-RT1
10.253.8.163,SSH2,gsolorzano,NAP,Xterm,EP-SanDiego-RT1
10.253.8.15,SSH2,gsolorzano,NAP,Xterm,FP-Clearwater-RT1
10.253.8.13,SSH2,gsolorzano,NAP,Xterm,FP-FtLauderdale-RT1
10.253.8.16,SSH2,gsolorzano,NAP,Xterm,FP-Jacksonville-RT1
10.253.8.23,SSH2,gsolorzano,NAP,Xterm,FP-Memphis-RT1
10.253.8.24,SSH2,gsolorzano,NAP,Xterm,FP-Montgomery-RT1
10.253.8.102,SSH2,gsolorzano,NAP,Xterm,FP-Orlando-RT1
10.253.8.155,SSH2,gsolorzano,NAP,Xterm,HS-Hingham-RT1
10.253.8.19,SSH2,gsolorzano,NAP,Xterm,LP-Atlanta-RT1
10.253.8.158,SSH2,gsolorzano,NAP,Xterm,LP-Austin-RT1
10.253.8.27,SSH2,gsolorzano,NAP,Xterm,LP-Baltimore-RT1
10.253.8.61,SSH2,gsolorzano,NAP,Xterm,LP-BatonRouge-RT1
10.253.8.18,SSH2,gsolorzano,NAP,Xterm,LP-Boston-RT1
10.253.8.97,SSH2,gsolorzano,NAP,Xterm,LP-Calgary-RT1
10.253.8.8,SSH2,gsolorzano,NAP,Xterm,LP-Charlotte-RT1
10.253.8.45,SSH2,gsolorzano,NAP,Xterm,LP-Columbus-RT1
10.253.8.46,SSH2,gsolorzano,NAP,Xterm,LP-Dayton-RT1
10.253.8.52,SSH2,gsolorzano,NAP,Xterm,LP-Denver-RT1
10.253.8.41,SSH2,gsolorzano,NAP,Xterm,LP-Detroit-RT1
10.253.8.106,SSH2,gsolorzano,NAP,Xterm,LP-GrandRapids-RT1
10.253.8.139,SSH2,gsolorzano,NAP,Xterm,LP-Hartford-RT1
10.253.8.36,SSH2,gsolorzano,NAP,Xterm,LP-Houston-RT1
10.253.8.40,SSH2,gsolorzano,NAP,Xterm,LP-Indianapolis-RT1
10.253.8.51,SSH2,gsolorzano,NAP,Xterm,LP-KansasCity-RT1
10.253.8.53,SSH2,gsolorzano,NAP,Xterm,LP-LasVegas-RT1
10.253.8.93,SSH2,gsolorzano,NAP,Xterm,LP-LosAngeles-RT1
10.253.8.7,SSH2,gsolorzano,NAP,Xterm,LP-Louisville-RT1
10.253.8.121,SSH2,gsolorzano,NAP,Xterm,LP-Madison-RT1
