hostname,version
CP-Atlanta-RT1,15.7(3)M3
CP-Charlotte-RT1,16.9.2
CP-Minnesota-RT1,15.7(3)M3
EMP-Toronto-RT1,16.6.5
CP-Tucson-RT1,15.7(3)M3
CP-Portland-RT1,15.7(3)M3
CP-Seattle-RT1,16.6.5
CP-Rancho-RT1,16.6.5
EMP-Dartmouth-RT1,15.7(3)M3
EMP-London-RT1,15.7(3)M1
EMP-Calgary-RT1,15.7(3)M3
EMP-Montreal-RT1,15.7(3)M3
EMP-Edmonton-RT1,15.7(3)M3
EMP-Vancouver-RT1,15.7(3)M3
EMP-Winnipeg-RT1,15.7(3)M3
EP-Coppell-RT1,16.6.5
FP-Clearwater-RT1,16.6.5
EP-SanDiego-RT1,16.6.5
FP-FtLauderdale-RT1,15.7(3)M3
FP-Jacksonville-RT1,15.7(3)M3
FP-Memphis-RT1,15.7(3)M3
FP-Montgomery-RT1,15.7(3)M3
LP-Atlanta-RT1,16.6.5
LP-Dallas-RT1,16.9.2
TP-Tampa-RT1,16.9.2
LP-Baltimore-RT1,15.7(3)M3
HS-Hingham-RT1,16.6.5
LP-BatonRouge-RT1,15.7(3)M3
LP-Boston-RT1,15.7(3)M3
EMP-StJohn-RT1,15.7(3)M3
LP-Dayton-RT1,15.7(3)M3
LP-GrandRapids-RT1,15.7(3)M3
LP-Columbus-RT1,16.6.5
LP-Denver-RT1,16.6.2
LP-Detroit-RT1,16.6.5
LP-Calgary-RT1,15.7(3)M3
LP-Hartford-RT1,15.7(3)M3
LP-Houston-RT1,15.7(3)M3
LP-Indianapolis-RT1,15.7(3)M3
LP-Miami-RT1,15.7(3)M1
LP-Louisville-RT1,15.7(3)M3
LP-Madison-RT1,16.6.5
LP-LasVegas-RT1,15.7(3)M3
LP-KansasCity-RT1,15.7(3)M3
LP-LosAngeles-RT1,16.6.5
LP-Minneapolis-RT1,16.6.5
LP-Moncton-RT1,15.7(3)M3
LP-Montreal-RT1,15.7(3)M3
LP-NewYork-RT1,16.6.2
LP-Ottawa-RT1,15.7(3)M3
LP-Philadelphia-RT1,16.12.5
LP-Orlando-RT1,15.7(3)M3
LP-Phoenix-RT1,15.7(3)M3
LP-Pittsburgh-RT1,15.7(3)M3
LP-Rochester-RT1,15.7(3)M3
LP-QuebecCity-RT1,15.7(3)M3
LP-SaltLakeCity-RT1,15.7(3)M3
LP-SanAntonio-RT1,15.7(3)M3
LP-Portland-RT1,15.7(3)M3
LP-St-Louis-RT1,15.7(3)M3
LP-Seattle-RT1,15.7(3)M3
LP-Stow-RT1,15.7(3)M3
LP-Spokane-RT1,16.12.5
LP-Tampa-RT1,16.6.5
LP-Chicago2-RT1,16.12.5
LP-Warwick-RT1,15.7(3)M3
LP-Winnipeg-RT1,15.7(3)M3
LP-Vancouver-RT1,16.12.5
PS-Austell-RT1,16.6.5
PS-Apodaca-RT1,15.7(3)M3
MP-Shelton-RT1,16.6.5
LVP-Bethlehem-RT1,16.6.5
PS-Brampton-RT1,16.6.5
PS-Bridgeton-RT1,15.7(3)M3
