hostname,version
LP-Chicago-SW2,15.2(6)E
LP-Baltimore-SW1,15.2(7)E4
LP-Atlanta-SW1,15.2(7)E4
LP-Austin-SW1,15.2(7)E4
LP-Stow-SW1,15.2(7)E4
LP-BatonRouge-SW1,15.2(7)E4
LP-Boston-SW1,15.2(7)E4
LP-Chicago-SW3,15.2(6)E2b
LP-Dallas-SW1,15.2(8)E
LP-Columbus-SW1,15.2(7)E4
LP-Chicago-SW1,15.2(7)E2
LP-Denver-SW1,15.2(7)E4
LP-Dayton-SW1,15.2(7)E4
LP-GrandRapids-SW1,15.2(7)E4
LP-Detroit-SW1,15.2(6)E2b
LP-Houston-SW1,15.2(7)E4
LP-Indianapolis-SW1,15.2(7)E4
LP-Hartford-SW1,15.2(7)E4
LP-LasVegas-SW1,15.2(7)E4
LP-KansasCity-SW1,15.2(7)E4
LP-Louisville-SW1,15.2(7)E4
LP-Miami-SW1,15.2(7)E4
LP-Madison-SW1,15.2(7)E4
LP-Minneapolis-SW1,15.2(6)E2b
LP-LosAngeles-SW1,15.2(7)E4
LP-Orlando-SW1,15.2(6)E2b
LP-NewYork-SW1,15.2(7)E4
LP-Philadelphia-SW1,15.2(7)E4
IP-DallasSC-SW1,15.2(2)E5
LP-Pittsburgh-SW1,15.2(7)E4
LP-Phoenix-SW1,15.2(7)E4
LP-Rochester-SW1,15.2(7)E4
LP-SaltLakeCity-SW1,15.2(7)E4
LP-Portland-SW1,15.2(7)E4
LP-SanAntonio-SW1,15.2(7)E4
IP-Seattle-SW1,15.2(7)E4
MP-Shelton-SW1,15.2(7)E4
LP-StLouis-SW1,15.2(7)E4
LP-Tampa-SW1,15.2(7)E4
LP-Spokane-SW1,15.2(7)E4
LP-Warwick-SW1,15.2(7)E4
LP-Moncton-SW1,15.2(7)E4
LP-Calgary-SW1,15.2(7)E4
LP-Montreal-SW1,15.2(7)E4
LP-QuebecCity-SW1,15.2(7)E4
LP-Ottawa-SW1,15.2(7)E4
LP-Toronto-SW1,15.2(7)E2
LP-Vancouver-SW1,15.2(6)E
LP-Vancouver-SW2,15.2(7)E3
LP-Vancouver-SW3,15.2(8)E
LP-Vancouver-SW4,15.2(7)E4
PPS-Dayton-SW1,15.2(7)E4
LP-Vancouver-SW6,15.2(7)E6
LP-Vancouver-SW5,15.2(7)E4
IP-Winnipeg-SW1,15.2(7)E4
PP-Albuquerque-SW1,15.2(7)E4
PP-Chesapeake-SW1,15.2(7)E4
PP-Dallas-SW1,15.2(7)E4
PP-Denver-SW1,15.2(7)E4
PP-LosAngeles-SW1,15.2(7)E4
PP-Phoenix-SW1,15.2(7)E4
PP-SanDiego-SW1,15.2(7)E4
PP-Portland-SW1,15.2(7)E4
CP-Atlanta-SW1,15.2(7)E4
CP-Charlotte-SW1,15.2(7)E4
PP-SanJose-SW1,15.2(7)E4
PP-Seattle-SW1,15.2(7)E4
CP-Minnesota-SW1,15.2(7)E4
FP-FtLauderdale-SW1,15.2(7)E4
CP-Tucson-SW1,15.2(7)E4
CP-Portland-SW1,15.2(7)E4
FP-Jacksonville-SW1,15.2(7)E4
FP-Clearwater-SW1,15.2(7)E4
CP-Seattle-SW1,15.2(7)E4
FP-Memphis-SW1,15.2(7)E4
FP-Montgomery-SW1,15.2(7)E4
FP-Orlando-SW1,15.2(7)E4
USC-Memphis-SW2,15.2(7)E4
USC-Tukwila-SW2,15.2(7)E4
USC-Tukwila-SW1,15.2(7)E4
EMP-Calgary-SW1,15.2(7)E4
EMP-London-SW1,15.2(7)E4
EMP-Toronto-SW1,15.2(7)E4
EMP-Edmonton-SW1,15.2(7)E4
EMP-Montreal-SW1,15.2(7)E4
EMP-StJohn-SW1,15.2(7)E4
EMP-Vancouver-SW1,15.2(7)E4
EMP-Winnipeg-SW1,15.2(7)E4
HS-Hingham-SW1,15.2(7)E4
PVC-Compton-SW3,15.2(6)E
PVC-Compton-SW1,15.2(6)E
PVC-Compton-SW2,15.2(6)E
LVP-Bethlehem-SW1,15.2(6)E
LVP-Bethlehem-SW2,15.2(6)E
LVP-Bethlehem-SW3,15.2(6)E1
PS-Birmingham-SW1,15.2(5c)E
PS-Austell-SW1,15.2(7)E2
EP-Coppell-SW1,15.2(7)E2
EP-SanDiego-SW1,15.2(6)E2b
EP-Coppell-SW2,15.2(7)E3
PS-Bridgeton-SW1,15.2(7)E2
PS-Brighton-SW1,15.2(5c)E
PS-Cleveland-SW1,15.2(5c)E
PS-BrooklynPark-SW1,15.2(6)E
PS-CedarRapids-SW1,15.2(5c)E
PS-Charlotte-SW1,15.2(6)E
PS-Columbia-SW1,15.2(5c)E
PS-Coppell-SW1,15.2(5c)E
PS-Denver-SW1,15.2(6)E
PS-MadisonHeights-SW1,15.2(5c)E
